identifier,entityName,attributeName,attributeDefinition,attributeLabel,attributeUnit,ECSO_,who,notes
doi:10.18739/A2858D,AMF_CA-Ojp_BASE_HH_1-1.csv,TIMESTAMP_END,ISO timestamp end of averaging period (up to a 12-digit integer as specified by the data's temporal resolution),,,00002045,SC,
doi:10.18739/A2C289,AMF_US-ICt_BASE_HH_2-1.csv,TIMESTAMP_END,ISO timestamp end of averaging period (up to a 12-digit integer as specified by the data's temporal resolution),,,00002045,SC,
doi:10.18739/A2CZ88,AMF_CA-Oas_BASE_HH_1-1.csv,TIMESTAMP_END,ISO timestamp end of averaging period (up to a 12-digit integer as specified by the data's temporal resolution),,,00002045,SC,
doi:10.18739/A2H29X,AMF_US-ICs_BASE_HH_2-1.csv,TIMESTAMP_END,ISO timestamp end of averaging period (up to a 12-digit integer as specified by the data's temporal resolution),,,00002045,SC,
doi:10.18739/A2HW0S,AMF_CA-Man_BASE_HH_2-1.csv,TIMESTAMP_END,ISO timestamp end of averaging period (up to a 12-digit integer as specified by the data's temporal resolution),,,00002045,SC,
doi:10.18739/A2MW0Q,AMF_US-ICh_BASE_HH_2-1.csv,TIMESTAMP_END,ISO timestamp end of averaging period (up to a 12-digit integer as specified by the data's temporal resolution),,,00002045,SC,
doi:10.18739/A2NS1C,AMF_CA-Gro_BASE_HH_1-1.csv,TIMESTAMP_END,ISO timestamp end of averaging period (up to a 12-digit integer as specified by the data's temporal resolution),,,00002045,SC,
doi:10.18739/A2RS2P,AMF_US-EML_BASE_HH_1-4.csv,TIMESTAMP_END,ISO timestamp end of averaging period (up to a 12-digit integer as specified by the data's temporal resolution),,,00002045,SC,
doi:10.18739/A2WK4M,AMF_US-Brw_BASE_HH_2-1.csv,TIMESTAMP_END,ISO timestamp end of averaging period (up to a 12-digit integer as specified by the data's temporal resolution),,,00002045,SC,
doi:10.18739/A22S2G,buoy14-lz346to364-v012-scd.aon.txt,recdatetime,"The time of the file written at the end of a measurement profile sequence.  All elevation angles within the same sequence share the same time, which is after that of the measurement of each spectrum.  Time is UTC.",,,00002045,SC,
doi:10.18739/A2CD5M,ASDN_Lemming_counts.csv,Start_time,Time at which the survey began,,,00002045,SC,
doi:10.18739/A2CD5M,ASDN_Lemming_nests.csv,Start_time,Time at which the survey began,,,00002045,SC,
